Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2010	-7358.982	-7329.659	-29.32297	92702.25	19.37776	0.995828	0.998931	1.00106	1.00418	8.564235
2020	-7374.182	-7344.485	-29.69669	809545.5	19.07115	0.998588	0.999639	1.00036	1.00141	8.590091
2030	-7385.49	-7347.899	-37.59147	278506.4	19.1901	0.997592	0.999384	1.00061	1.00241	8.99917
2040	-7379.924	-7351.843	-28.08095	874423.2	17.57768	0.998641	0.999652	1.00035	1.00136	8.498097
2050	-7395.3	-7361.401	-33.89841	127255	21.37452	0.996439	0.999088	1.00091	1.00357	8.698284
2060	-7393.665	-7362.592	-31.07236	790970.6	18.11663	0.998571	0.999635	1.00036	1.00143	8.672844
2070	-7377.106	-7346.582	-30.52379	30820.15	16.56329	0.992769	0.998141	1.00184	1.00725	8.600498
2080	-7366.08	-7339.118	-26.96136	371962.6	18.66875	0.997917	0.999467	1.00053	1.00208	8.449126
2090	-7396.539	-7360.131	-36.40824	555066.6	16.69979	0.998294	0.999564	1.00044	1.00171	8.960056
2100	-7379.391	-7353.115	-26.27661	397886.3	19.69869	0.997986	0.999485	1.00051	1.00202	8.401054
2110	-7386.43	-7354.446	-31.98396	104004.1	16.36462	0.996061	0.998991	1.001	1.00394	8.677845
2120	-7373.431	-7341.623	-31.8082	260120.4	18.43805	0.997509	0.999362	1.00064	1.00249	8.711639
2130	-7369.533	-7342.84	-26.69317	973298.1	18.55822	0.998712	0.999671	1.00033	1.00129	8.434672
2140	-7384.515	-7355.792	-28.72324	290356	17.58697	0.997642	0.999397	1.0006	1.00236	8.53486
2150	-7382.352	-7347.353	-34.99953	763656.4	17.66954	0.998546	0.999628	1.00037	1.00145	8.891925
2160	-7402.725	-7361.306	-41.41902	612795.6	18.40835	0.998377	0.999585	1.00041	1.00162	9.234008
2170	-7379.88	-7351.653	-28.22694	541483.2	18.86608	0.998273	0.999558	1.00044	1.00173	8.515472
2180	-7381.082	-7348.229	-32.85308	835070.1	17.16491	0.998609	0.999644	1.00035	1.00139	8.762394
2190	-7383.056	-7354.168	-28.88713	120936.1	18.46217	0.996347	0.999064	1.00093	1.00366	8.553178
2200	-7381.365	-7341.788	-39.57703	8080.304	17.13168	0.985895	0.996353	1.00358	1.01418	9.154054
2210	-7378.49	-7342.234	-36.25565	493855.3	17.80044	0.998192	0.999537	1.00046	1.00181	8.962391
2220	-7395.667	-7353.071	-42.59597	550540.7	14.38679	0.998287	0.999562	1.00044	1.00171	9.194448
2230	-7355.894	-7332.318	-23.5756	96663.58	19.44481	0.995915	0.998953	1.00104	1.00409	8.267041
