Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
165	1	-7381.53	-7337.396	-44.1334	555791	15.94052	0.998296	0.999564	1.00043	1.00171	9.411013
166	0	-7308.22	-7237.34	-70.87987	2.108073	15.64217	0.305843	0.666035	1.07247	1.95565	11.10976
167	1	-7379.761	-7350.647	-29.11375	439353.9	20.33906	0.998083	0.99951	1.00049	1.00192	8.522979
168	0	-7303.975	-7248.813	-55.16156	2.401116	15.49552	0.336877	0.691854	1.07741	1.89386	10.10454
169	1	-7374.865	-7345.128	-29.73755	33853.37	18.42723	0.9931	0.998227	1.00176	1.00692	8.599374
170	0	-7286.152	-7239.217	-46.9356	2.142173	17.55972	0.309675	0.669328	1.07317	1.94783	9.571365
171	1	-7384.816	-7349.037	-35.77867	121261.6	16.10008	0.996352	0.999065	1.00093	1.00365	8.896438
172	0	-7283.397	-7219.784	-63.61319	2.121603	15.5118	0.307371	0.667352	1.07275	1.95252	10.64948
173	1	-7385.697	-7344.221	-41.4768	37804.59	20.10728	0.99347	0.998323	1.00166	1.00655	9.146615
174	0	-7294.106	-7234.902	-59.20472	1.890155	15.03885	0.2798	0.6428	1.06698	2.01042	10.36605
175	1	-7373.897	-7336.513	-37.38428	28547.64	17.26092	0.992487	0.998068	1.00191	1.00753	9.027082
176	0	-7276.098	-7221.382	-54.7167	1.93433	15.56488	0.285308	0.647844	1.06826	1.99859	10.07624
177	1	-7378.553	-7345.539	-33.01383	576549.1	19.15163	0.998326	0.999572	1.00043	1.00167	8.761758
178	0	-7296.042	-7230.107	-65.93493	2.211409	15.04908	0.317269	0.675763	1.07448	1.93249	10.81336
179	1	-7380.857	-7346.637	-34.22061	776444.9	17.67871	0.998558	0.999631	1.00037	1.00144	8.847874
180	0	-7285.91	-7233.417	-52.49275	2.049629	15.335	0.299128	0.66019	1.07118	1.9695	9.929047
181	1	-7380.267	-7347.463	-32.80403	251557.9	18.4417	0.997467	0.999352	1.00065	1.00254	8.765602
182	0	-7282.797	-7228.077	-54.71999	2.196057	17.29714	0.315606	0.674364	1.0742	1.93583	10.0295
183	1	-7380.328	-7353.222	-27.10581	227003.8	22.32503	0.997333	0.999317	1.00068	1.00267	8.328941
184	0	-7280.197	-7216.77	-63.42686	2.106944	13.96777	0.305715	0.665925	1.07245	1.95591	10.62693
185	1	-7377.792	-7340.054	-37.73704	722947.1	16.98864	0.998505	0.999618	1.00038	1.0015	9.045047
186	0	-7300.317	-7238.094	-62.22215	2.012019	16.16419	0.294705	0.656286	1.07029	1.97872	10.53587
187	1	-7378.295	-7354.504	-23.79159	585443	19.71306	0.998339	0.999575	1.00042	1.00166	8.274681
188	0	-7307.347	-7238.605	-68.74179	1.992858	14.56834	0.292421	0.654252	1.06981	1.98352	11.01066
189	1	-7399.58	-7361.417	-38.16276	615000.8	18.4239	0.99838	0.999586	1.00041	1.00162	9.056683
190	0	-7293.948	-7223.307	-70.64039	1.950874	13.67123	0.287339	0.649686	1.06871	1.99426	11.1367
191	1	-7394.257	-7361.757	-32.50082	177391.4	20.22866	0.996984	0.999228	1.00077	1.00302	8.694706
192	0	-7297.588	-7221.762	-75.82616	1.950874	15.39112	0.287339	0.649686	1.06871	1.99426	11.44636
193	1	-7380.645	-7345.098	-35.5467	135058.3	15.65461	0.996543	0.999114	1.00088	1.00346	8.851898
194	0	-7303.173	-7230.287	-72.88528	2.208968	14.35846	0.317005	0.675542	1.07444	1.93302	11.30039
195	1	-7365.417	-7337.336	-28.08126	381958.7	20.14656	0.997944	0.999474	1.00052	1.00206	8.479083
196	0	-7286.387	-7226.336	-60.05088	2.02075	14.40678	0.295739	0.657202	1.0705	1.97656	10.40851
197	1	-7370.573	-7343	-27.57309	705139.6	18.52755	0.998487	0.999613	1.00039	1.00151	8.482085
198	0	-7278.156	-7225.109	-53.04703	2.548556	15.03556	0.351012	0.703012	1.07916	1.86682	9.956478
199	1	-7389.135	-7355.342	-33.79248	563232.2	15.37054	0.998307	0.999567	1.00043	1.00169	8.713243
200	0	-7291.386	-7235.027	-56.35863	2.006842	14.45549	0.29409	0.655739	1.07016	1.98001	10.15493
201	1	-7389.903	-7360.243	-29.66066	492203.4	22.10994	0.998189	0.999537	1.00046	1.00181	8.456968
202	0	-7300.848	-7237.057	-63.79162	1.856913	14.94139	0.275575	0.638881	1.06596	2.01959	10.67191
203	1	-7387.129	-7361.245	-25.8843	922097.4	18.59648	0.998677	0.999662	1.00034	1.00132	8.391241
204	0	-7288.471	-7231.434	-57.03653	2.360426	14.30899	0.332811	0.688578	1.07685	1.90176	10.19371
205	1	-7400.788	-7360.364	-40.4236	323194.3	17.52221	0.997765	0.999428	1.00057	1.00224	9.200991
206	0	-7297.059	-7234.199	-62.85971	2.319317	14.4146	0.328629	0.685175	1.07625	1.90994	10.60367
207	1	-7387.822	-7352.389	-35.433	89946.64	17.90413	0.995765	0.998914	1.00108	1.00424	8.915609
208	0	-7299.935	-7229.038	-70.89727	1.967001	14.53108	0.289303	0.651458	1.06914	1.9901	11.15937
209	1	-7379.485	-7343.178	-36.30729	145192.3	17.13811	0.996666	0.999146	1.00085	1.00334	8.963282
210	0	-7319.263	-7250.909	-68.35329	1.925389	16.57719	0.284203	0.646838	1.06801	2.00095	10.88329
211	1	-7385.48	-7357.345	-28.13442	977855.1	20.04022	0.998715	0.999671	1.00033	1.00129	8.485272
212	0	-7305.729	-7237.868	-67.86071	1.880263	16.18306	0.27855	0.641646	1.06668	2.01312	10.88339
213	1	-7373.205	-7351.393	-21.81264	842766.8	18.9067	0.998616	0.999646	1.00035	1.00138	8.175802
214	0	-7294.261	-7234.42	-59.84115	2.148974	16.71858	0.310432	0.669975	1.07331	1.94629	10.3622
215	1	-7376.84	-7344.966	-31.87418	775722.9	17.3552	0.998557	0.999631	1.00037	1.00144	8.709999
216	0	-7293.107	-7233.659	-59.44854	2.429841	14.01284	0.339702	0.694113	1.07779	1.8884	10.34521
217	1	-7384.438	-7352.036	-32.40146	347201.4	19.09071	0.997844	0.999448	1.00055	1.00216	8.73141
218	0	-7281.049	-7230.012	-51.03716	2.082162	15.14098	0.302889	0.663476	1.07192	1.96172	9.827314
219	1	-7412.484	-7368.233	-44.25119	393046	17.25247	0.997973	0.999481	1.00052	1.00203	9.425056
220	0	-7279.936	-7221.645	-58.29067	1.922249	14.58343	0.283813	0.646483	1.06792	2.00179	10.29385
221	1	-7382.544	-7352.532	-30.01176	37469.56	20.33847	0.993441	0.998315	1.00167	1.00657	8.567156
222	0	-7282.3	-7232.648	-49.65165	2.615958	15.51747	0.357182	0.707773	1.07983	1.85522	9.749576
223	1	-7373.512	-7346.37	-27.14227	11160.02	17.29808	0.987993	0.996901	1.00305	1.01206	8.435186
224	0	-7299.687	-7238.794	-60.89318	2.272393	15.04017	0.323758	0.68117	1.07552	1.91955	10.47833
225	1	-7376.693	-7338.111	-38.58169	201516.8	17.18135	0.99717	0.999275	1.00072	1.00283	9.09621
226	0	-7280.568	-7224.875	-55.69373	2.091344	14.88362	0.30394	0.664388	1.07212	1.95956	10.12812
227	1	-7393.159	-7353.652	-39.50748	485976.1	19.17708	0.998177	0.999534	1.00047	1.00182	9.099629
228	0	-7272.931	-7226.315	-46.61691	2.370003	17.14458	0.333775	0.689357	1.07699	1.89988	9.564702
229	1	-7371.276	-7340.668	-30.60788	227247.6	18.49054	0.997335	0.999318	1.00068	1.00267	8.646179
230	0	-7299.296	-7228.077	-71.21912	1.749685	18.03578	0.261447	0.62545	1.06225	2.05085	10.89864
231	1	-7391.016	-7352.217	-38.79948	399979.2	17.74508	0.997991	0.999486	1.00051	1.00201	9.106068
232	0	-7277.266	-7219.992	-57.27456	1.921491	15.1458	0.283719	0.646397	1.06789	2.00199	10.23933
233	1	-7379.682	-7345.406	-34.27551	63250.69	16.10835	0.99495	0.998705	1.00129	1.00506	8.803585
234	0	-7283.346	-7224.343	-59.00252	1.906669	13.84066	0.281873	0.644707	1.06747	2.00595	10.30035
235	1	-7396.126	-7362.544	-33.58263	182169.6	17.40164	0.997023	0.999238	1.00076	1.00298	8.809122
